"category","sku","total_revenue","total_units_sold","rank"
"Blouse","J0217-BL-L","20275.0","30","1"
"Blouse","J0217-BL-M","19593.0","31","2"
"Blouse","J0217-BL-XL","18922.0","27","3"
"Blouse","J0217-BL-S","18106.0","26","4"
"Blouse","BL021-71BLACK","14234.0","36","5"
"Bottom","BTM031-NP-XL","2590.0","5","1"
"Bottom","BTM039-PP-XXXL","2520.0","7","2"
"Bottom","BTM002-B-M","2283.0","4","3"
"Bottom","BTM038-PP-S","2268.0","6","4"
"Bottom","AN213-BROWN-S","2264.0","8","5"
"Dupatta","DPT032","305.0","1","1"
"Dupatta","DPT041","305.0","1","2"
"Dupatta","DPT052","305.0","1","3"
"Ethnic Dress","J0006-SET-M","67103.0","79","1"
"Ethnic Dress","J0006-SET-XL","48896.0","59","2"
"Ethnic Dress","J0006-SET-S","45053.0","54","3"
"Ethnic Dress","J0006-SET-L","40945.0","49","4"
"Ethnic Dress","J0006-SET-XXXL","36396.0","42","5"
"Saree","SAR069","10556.0","12","1"
"Saree","SAR062","5337.0","6","2"
"Saree","JNE09210-PINK-SR-JP8101RNV","5154.0","6","3"
"Saree","SAR137","3984.0","7","4"
"Saree","JNE1000-NAVY-SR-JB6102RMV-K","3595.0","4","5"
"Set","J0230-SKD-M","483611.0","435","1"
"Set","J0230-SKD-S","446499.0","399","2"
"Set","J0230-SKD-L","277678.0","253","3"
"Set","SET268-KR-NP-XL","260156.0","344","4"
"Set","SET268-KR-NP-L","241920.0","326","5"
"Top","J0119-TP-XXXL","93572.0","161","1"
"Top","J0119-TP-XL","93566.0","157","2"
"Top","J0119-TP-XXL","85626.0","144","3"
"Top","J0119-TP-L","69790.0","116","4"
"Top","J0301-TP-XL","67140.0","123","5"
"Western Dress","JNE3797-KR-L","464075.0","638","1"
"Western Dress","JNE3797-KR-M","397970.0","546","2"
"Western Dress","JNE3797-KR-S","357989.0","486","3"
"Western Dress","JNE3797-KR-XL","296575.0","399","4"
"Western Dress","JNE3797-KR-XS","273810.0","370","5"
"kurta","JNE3405-KR-L","178348.0","452","1"
"kurta","JNE3405-KR-S","155471.0","380","2"
"kurta","JNE3405-KR-M","129770.0","330","3"
"kurta","JNE3801-KR-M","104679.0","143","4"
"kurta","JNE3567-KR-M","103950.0","267","5"
